Image_Number,Master_Run_Number,PC_Time,GPS_Time,UTC_Time,Pressure(hPa),North(mm),East(mm),Down(mm),Distance(mm),H_RTK_Accuracy(mm),V_RTK_Accuracy(mm),N_SATS_RTK,Flags,Latitude(deg),Longitude(deg),Height(m),H_Accuracy(mm),V_Accuracy(mm),N_Sats
19,23,2021-08-06 16:28:01.529051,2021-08-06 08:28:18.800000,2021-8-6 8:28:0.799999970,1300,-615,-1009,-1030,1567.5477664173427,165,427,15,4,1.2847051057656997,103.81167255142326,38.76026908866317,930,2379,15
19,23,2021-08-06 16:28:01.629244,2021-08-06 08:28:18.900000,2021-8-6 8:28:0.899999970,1300,-617,-1010,-1041,1576.220162286982,166,431,15,4,1.2847050371483952,103.81167251855857,38.77379871072201,935,2391,15
19,23,2021-08-06 16:28:01.861753,2021-08-06 08:28:19.000000,2021-8-6 8:28:0.999999969,1300,-620,-1013,-1046,1582.6196637221465,194,491,15,4,1.284704988791858,103.81167241381821,38.774372325788825,935,2391,15
19,23,2021-08-06 16:28:01.884706,2021-08-06 08:28:19.100000,2021-8-6 8:28:1.099999967,1300,-618,-1011,-1065,1593.1949033310393,224,549,15,4,1.2847049783121955,103.81167229268156,38.80630229406875,1072,2730,15
19,23,2021-08-06 16:28:01.908533,2021-08-06 08:28:19.200000,2021-8-6 8:28:1.199999967,1300,-618,-1010,-1059,1588.5543742661125,214,512,15,4,1.2847049726365203,103.81167218296913,38.818728429524654,1112,2818,15
19,23,2021-08-06 16:28:02.025575,2021-08-06 08:28:19.300000,2021-8-6 8:28:1.299999967,1300,-616,-1008,-1051,1581.1770931808999,192,464,15,4,1.2847049893163067,103.81167206479572,38.824490576634666,1107,2797,15
19,23,2021-08-06 16:28:02.114470,2021-08-06 08:28:19.400000,2021-8-6 8:28:1.399999966,1300,-617,-1010,-1052,1583.5065519283462,195,466,15,4,1.284704985154172,103.81167192554922,38.84473594715616,1081,2720,15
20,24,2021-08-06 16:28:02.217154,2021-08-06 08:28:19.500000,2021-8-6 8:28:1.499999966,1300,-614,-1010,-1050,1581.0110689049586,197,466,15,4,1.284705031050265,103.81167178654601,38.85219385486222,1091,2735,15
20,24,2021-08-06 16:28:02.336387,2021-08-06 08:28:19.600000,2021-8-6 8:28:1.599999966,1300,-600,-998,-1044,1563.9501270820626,197,463,15,4,1.2847051653476853,103.81167175318714,38.84959532906099,1071,2675,15
20,24,2021-08-06 16:28:02.381922,2021-08-06 08:28:19.700000,2021-8-6 8:28:1.699999965,1300,-578,-986,-1035,1541.9160158711627,206,484,15,4,1.2847053882295265,103.8116717556853,38.85468977333149,1095,2728,15
20,24,2021-08-06 16:28:02.593498,2021-08-06 08:28:19.800000,2021-8-6 8:28:1.799999965,1300,-558,-978,-1067,1551.2372481345335,212,495,15,4,1.2847055934956062,103.81167167781192,38.885337914607916,1026,2547,15
20,24,2021-08-06 16:28:02.626909,2021-08-06 08:28:19.900000,2021-8-6 8:28:1.899999966,1300,-529,-969,-1089,1550.7169309709623,215,502,15,4,1.2847059950421171,103.81167186925899,38.84792670666186,1109,2756,15
20,24,2021-08-06 16:28:02.868065,2021-08-06 08:28:20.000000,2021-8-6 8:28:1.999999965,1300,-487,-960,-1085,1528.3958911224538,215,491,15,4,1.2847064943152213,103.81167213246425,38.7913237876502,1007,2505,15
20,24,2021-08-06 16:28:02.879037,2021-08-06 08:28:20.100000,2021-8-6 8:28:2.099999965,1300,-438,-952,-1095,1515.6427679370888,211,477,15,4,1.2847070172806847,103.81167232297908,38.759683005247574,848,2114,15
20,24,2021-08-06 16:28:02.896764,2021-08-06 08:28:20.200000,2021-8-6 8:28:2.199999964,1300,-380,-932,-1081,1477.0189572243141,208,466,15,4,1.2847076305920326,103.81167263663338,38.71390207602502,844,2109,15
20,24,2021-08-06 16:28:03.018944,2021-08-06 08:28:20.300000,2021-8-6 8:28:2.299999964,1300,-329,-917,-1091,1462.672553923126,183,419,15,4,1.2847081585936166,103.81167289165266,38.69487260922956,877,2196,15
20,24,2021-08-06 16:28:03.115090,2021-08-06 08:28:20.400000,2021-8-6 8:28:2.399999964,1300,-281,-905,-1116,1464.0498625388414,179,402,15,4,1.2847086393351799,103.81167306326071,38.679185323431476,827,2075,15
20,24,2021-08-06 16:28:03.224889,2021-08-06 08:28:20.500000,2021-8-6 8:28:2.499999963,1300,-243,-900,-1129,1464.1345566579596,189,421,15,4,1.2847090293145313,103.81167318694021,38.65807029877212,757,1903,15
20,24,2021-08-06 16:28:03.342726,2021-08-06 08:28:20.600000,2021-8-6 8:28:2.599999963,1300,-222,-890,-1127,1453.1046073837906,193,439,15,4,1.2847092750077134,103.81167331838616,38.625993649661325,655,1652,15
20,24,2021-08-06 16:28:03.388316,2021-08-06 08:28:20.700000,2021-8-6 8:28:2.699999963,1300,-201,-884,-1119,1440.1451315752868,195,442,15,4,1.2847095204820362,103.81167342731064,38.58453288503536,684,1728,15
20,24,2021-08-06 16:28:03.495668,2021-08-06 08:28:20.800000,2021-8-6 8:28:2.799999963,1300,-184,-883,-1115,1434.1443441997044,200,450,15,4,1.284709747045359,103.81167348048837,38.55104367859854,650,1645,15
20,24,2021-08-06 16:28:03.642215,2021-08-06 08:28:20.900000,2021-8-6 8:28:2.899999963,1300,-173,-886,-1120,1438.514859151618,155,349,15,4,1.2847099198697085,103.81167346770381,38.51471305183351,710,1799,15
20,24,2021-08-06 16:28:03.979942,2021-08-06 08:28:21.000000,2021-8-6 8:28:2.999999963,1300,-161,-888,-1113,1432.9110230576077,153,343,15,4,1.2847100811581176,103.81167345992343,38.47245138853712,738,1876,15
20,24,2021-08-06 16:28:03.985929,2021-08-06 08:28:21.100000,2021-8-6 8:28:3.099999963,1300,-141,-884,-1116,1430.661735002373,146,327,15,4,1.2847103171622065,103.81167349499046,38.42700741517562,747,1902,15
20,24,2021-08-06 16:28:03.991913,2021-08-06 08:28:21.200000,2021-8-6 8:28:3.199999963,1300,-124,-884,-1126,1436.9091829339807,148,330,15,4,1.2847105056812098,103.81167348341845,38.4019847089639,776,1977,15
20,24,2021-08-06 16:28:04.043095,2021-08-06 08:28:21.300000,2021-8-6 8:28:3.299999963,1300,-98,-880,-1148,1449.7958476971853,128,290,15,4,1.2847107215012863,103.81167346384024,38.377805698956614,854,2180,15
20,24,2021-08-06 16:28:04.122179,2021-08-06 08:28:21.400000,2021-8-6 8:28:3.399999962,1300,-75,-884,-1164,1463.5494525297054,159,367,15,4,1.2847109454891126,103.81167345254273,38.36318759441292,913,2334,15
21,25,2021-08-06 16:28:04.255859,2021-08-06 08:28:21.500000,2021-8-6 8:28:3.499999962,1300,-55,-899,-1143,1455.223350554821,115,266,15,4,1.284711127680994,103.81167334749642,38.33260301359241,912,2336,15
21,25,2021-08-06 16:28:04.343878,2021-08-06 08:28:21.600000,2021-8-6 8:28:3.599999962,1300,-29,-917,-1108,1438.5388420199158,113,261,15,4,1.2847113738721452,103.81167323911663,38.29570295860787,865,2220,15
21,25,2021-08-06 16:28:04.424759,2021-08-06 08:28:21.700000,2021-8-6 8:28:3.699999961,1300,-14,-949,-1088,1443.793960369692,119,277,15,4,1.2847115233388882,103.81167298516162,38.265744431362755,843,2168,15
21,25,2021-08-06 16:28:04.650505,2021-08-06 08:28:21.800000,2021-8-6 8:28:3.799999960,1300,12,-996,-1110,1491.3953198263698,125,291,15,4,1.2847117531578005,103.81167258731597,38.267109644846116,1018,2621,15
21,25,2021-08-06 16:28:04.657485,2021-08-06 08:28:21.900000,2021-8-6 8:28:3.899999960,1300,30,-1039,-1082,1500.381618122536,111,259,15,4,1.2847119596412204,103.81167223906772,38.25909118598371,1017,2622,15
21,25,2021-08-06 16:28:04.807903,2021-08-06 08:28:22.000000,2021-8-6 8:28:3.999999959,1300,42,-1083,-1081,1530.756022362806,123,286,15,4,1.284712091147894,103.81167189089054,38.25606249645857,997,2575,15
21,25,2021-08-06 16:28:04.932585,2021-08-06 08:28:22.100000,2021-8-6 8:28:4.099999959,1300,52,-1130,-1098,1576.4542492568569,113,263,15,4,1.284712171477366,103.8116714589643,38.27538937720341,990,2561,15
21,25,2021-08-06 16:28:04.952575,2021-08-06 08:28:22.200000,2021-8-6 8:28:4.199999958,1300,63,-1181,-1079,1600.9281682823873,124,288,15,4,1.2847122462251934,103.81167098214802,38.28015687543468,1076,2785,15
21,25,2021-08-06 16:28:05.058526,2021-08-06 08:28:22.300000,2021-8-6 8:28:4.299999958,1300,61,-1256,-1039,1631.1891367956077,122,306,15,4,1.2847123035118881,103.81167060863189,38.27563202691527,1041,2699,15
21,25,2021-08-06 16:28:05.145416,2021-08-06 08:28:22.400000,2021-8-6 8:28:4.399999958,1300,74,-1311,-1032,1670.0961050191095,124,310,15,4,1.2847123852565934,103.81167015643473,38.27602255237731,1088,2824,15
21,25,2021-08-06 16:28:05.260578,2021-08-06 08:28:22.500000,2021-8-6 8:28:4.499999957,1300,81,-1375,-1026,1717.51622990876,120,302,15,4,1.2847124489782613,103.8116696487474,38.2683780371206,1130,2935,15
21,25,2021-08-06 16:28:05.380890,2021-08-06 08:28:22.600000,2021-8-6 8:28:4.599999957,1300,97,-1431,-1029,1765.2226488463148,117,293,15,4,1.2847125839800253,103.81166919744787,38.2678238787166,1108,2882,15
21,25,2021-08-06 16:28:05.458139,2021-08-06 08:28:22.700000,2021-8-6 8:28:4.699999957,1300,116,-1487,-1025,1809.7651781377606,118,295,15,4,1.2847127138359464,103.8116687404134,38.270708481331816,1117,2906,15
21,25,2021-08-06 16:28:05.564138,2021-08-06 08:28:22.800000,2021-8-6 8:28:4.799999956,1300,114,-1549,-1030,1863.6783520768813,125,313,15,4,1.28471264010801,103.81166821224059,38.29021090819253,1026,2671,15
21,25,2021-08-06 16:28:05.646120,2021-08-06 08:28:22.900000,2021-8-6 8:28:4.899999956,1300,108,-1627,-1022,1924.3900332313094,119,296,15,4,1.2847125529628425,103.81166752129802,38.288852672136585,967,2520,15
21,25,2021-08-06 16:28:05.969801,2021-08-06 08:28:23.000000,2021-8-6 8:28:4.999999955,1300,113,-1702,-1007,1980.8134692595363,115,286,15,4,1.2847125635957608,103.81166684986104,38.28610798565562,921,2402,15
21,25,2021-08-06 16:28:05.976728,2021-08-06 08:28:23.100000,2021-8-6 8:28:5.099999954,1300,125,-1778,-998,2042.770912265984,117,291,15,4,1.2847126114297183,103.81166615417351,38.2905796913215,836,2184,15
21,25,2021-08-06 16:28:05.981751,2021-08-06 08:28:23.200000,2021-8-6 8:28:5.199999953,1300,138,-1857,-991,2109.401336872621,118,293,15,4,1.2847126357463374,103.81166540876113,38.30170282099134,841,2198,15
21,25,2021-08-06 16:28:06.050327,2021-08-06 08:28:23.300000,2021-8-6 8:28:5.299999953,1300,145,-1949,-1007,2198.5620300550995,119,295,15,4,1.2847126281286878,103.81166454473667,38.33304190012406,805,2106,15
22,26,2021-08-06 16:28:06.272775,2021-08-06 08:28:23.400000,2021-8-6 8:28:5.399999953,1300,168,-2021,-1020,2270.0363433214015,85,216,15,4,1.2847127403688967,103.81166372870064,38.3273747146313,813,2128,15
22,26,2021-08-06 16:28:06.287736,2021-08-06 08:28:23.500000,2021-8-6 8:28:5.499999953,1300,191,-2111,-1007,2346.668063446554,83,210,15,4,1.2847128630846156,103.8116628950478,38.330848689182666,760,1991,15
22,26,2021-08-06 16:28:06.347620,2021-08-06 08:28:23.600000,2021-8-6 8:28:5.599999952,1300,202,-2204,-1024,2438.646345823847,81,202,15,4,1.284712896704799,103.81166201502766,38.3445857683152,797,2088,15
22,26,2021-08-06 16:28:06.429220,2021-08-06 08:28:23.700000,2021-8-6 8:28:5.699999952,1300,213,-2295,-1026,2522.9090352210483,81,208,15,4,1.2847129282925462,103.81166114292687,38.351104824559336,851,2230,15
22,26,2021-08-06 16:28:06.661969,2021-08-06 08:28:23.800000,2021-8-6 8:28:5.799999952,1300,222,-2393,-1049,2622.238356824185,79,202,15,4,1.2847129667918593,103.81166018113554,38.37274667593224,858,2247,15
22,26,2021-08-06 16:28:06.667950,2021-08-06 08:28:23.900000,2021-8-6 8:28:5.899999952,1300,219,-2499,-1066,2725.677530449998,87,220,15,4,1.284712874585453,103.81165917707912,38.3974302790979,869,2274,15
22,26,2021-08-06 16:28:06.901133,2021-08-06 08:28:24.000000,2021-8-6 8:28:5.999999951,1300,217,-2604,-1060,2819.841307591617,83,208,15,4,1.2847127959559586,103.81165819809297,38.40267072794028,876,2293,15
22,26,2021-08-06 16:28:06.922024,2021-08-06 08:28:24.100000,2021-8-6 8:28:6.099999951,1300,213,-2708,-1049,2911.878088107399,86,216,15,4,1.284712699914912,103.81165718338465,38.39679632981174,837,2189,15
22,26,2021-08-06 16:28:06.929004,2021-08-06 08:28:24.200000,2021-8-6 8:28:6.199999950,1300,215,-2811,-1054,3009.7943451338997,84,211,15,4,1.2847126886689277,103.81165618136902,38.382749601947346,691,1809,15
22,26,2021-08-06 16:28:07.028026,2021-08-06 08:28:24.300000,2021-8-6 8:28:6.299999950,1300,215,-2911,-1061,3105.7796122712894,85,212,15,4,1.2847126320306619,103.81165519161786,38.38163694777661,683,1789,15
22,26,2021-08-06 16:28:07.164636,2021-08-06 08:28:24.400000,2021-8-6 8:28:6.399999949,1300,221,-3020,-1033,3199.426511111015,102,256,15,4,1.2847126247549319,103.81165414103825,38.36983779611233,700,1834,15
22,26,2021-08-06 16:28:07.235651,2021-08-06 08:28:24.500000,2021-8-6 8:28:6.499999949,1300,218,-3129,-1034,3302.6233512164235,96,240,15,4,1.2847125263033987,103.81165306301635,38.354057251171156,672,1761,15
22,26,2021-08-06 16:28:07.348607,2021-08-06 08:28:24.600000,2021-8-6 8:28:6.599999948,1300,215,-3234,-1025,3399.353762114205,91,229,15,4,1.2847124281037476,103.81165202683789,38.3345017977161,691,1813,15
22,26,2021-08-06 16:28:07.427185,2021-08-06 08:28:24.700000,2021-8-6 8:28:6.699999948,1300,215,-3334,-1042,3499.649268141023,98,246,15,4,1.2847123379272922,103.81165104214264,38.34153538439585,733,1924,15
